Title,Authors,Year of Publication,DOI
Evaluating Cascading Impact of Attacks on Resilience of Industrial Control Systems: A Design-Centric Modeling Approach,"Hau, Castellanos",2020,https://doi.org/10.1145/3384941.3409587
Combined Safety and Cybersecurity Testing Methodology for Autonomous Driving Algorithms,"Malayjerdi, Roberts",2022,https://doi.org/10.1145/3568160.3570235
AIAS: AI-ASsisted cybersecurity platform to defend against adversarial AI attacks,"Petihakis, Farao",2024,https://doi.org/10.1145/3664476.3669920
Industry Focused in Data Collection: How Industry 4.0 is Handled by Big Data,"Oliveira, Afonso",2019,https://doi.org/10.1145/3352411.3352414
"Trend Analysis in the Development of Factories of the Future, Taking into Account Digital Transformation of Active Systems","Vlasov, Kurnosenko",2022,https://doi.org/10.1145/3487757.3490881
Building a hardware-in-the-loop (HiL) digital energy station infrastructure for cyber operation resiliency testing,Jørgensen,2022,https://doi.org/10.1145/3524489.3527299
NEWSROOM: Towards Automating Cyber Situational Awareness Processes and Tools for Cyber Defence,"Wurzenberger, Krenn",2024,https://doi.org/10.1145/3664476.3670914
Attacking Power Grid Substations: An Experiment Demonstrating How to Attack the SCADA Protocol IEC 60870-5-104,"Erdődi, Kaliyar",2022,https://doi.org/10.1145/3538969.3544475
Intelligent Wearable Systems: Opportunities and Challenges in Health and Sports,"Yang, Amin, Shihada",2024,https://doi.org/10.1145/3648469
"Service Computing for Industry 4.0: State of the Art, Challenges, and Research Opportunities","Siqueira, Davis",2021,https://doi.org/10.1145/3478680
Will the metaverse be out of control? Addressing the ethical and governance implications of a developing virtual society,Effing,2024,https://doi.org/10.1145/3674148
Machine Learning in Metaverse Security: Current Solutions and Future Challenges,"Otoum, Gottimukkala",2024,https://doi.org/10.1145/3654663
Supporting vPLC Networking over TSN with Kubernetes in Industry 4.0,"Rosa, Garbugli",2023,https://doi.org/10.1145/3609389.3610566
Stealthy Rootkit Attacks on Cyber-Physical Microgrids: Poster,"Rath, Zografopoulos",2021,https://doi.org/10.1145/3447555.3466576
PRAETORIAN: A Framework for the Protection of Critical Infrastructures from advanced Combined Cyber and Physical Threats,Papadopoulos,2023,https://doi.org/10.1145/3600160.3605030
Simulation in Digital Enterprises,Kuehn,2019,https://doi.org/10.1145/3307363.3307370
Simulating Energy and Security Interactions in Semiconductor Manufacturing: Insights from the Intel Minifab Model,"Weaver, Shusko",2023,
Smart Services Implementation in Smart Cities: A Comprehensive Review of State-of-the-art Technologies,Arin,2023,https://doi.org/10.1145/3603955.3603971
(Do not) trust in ecosystems,"Cioroaica, Kuhn",2019,https://doi.org/10.1109/ICSE-NIER.2019.00011
EnCyCriS '22: Proceedings of the 3rd International Workshop on Engineering and Cybersecurity of Critical Systems,No authors,2022,
"The PRECINCT Ecosystem Platform for Critical Infrastructure Protection: Architecture, Deployment and Transferability",Kountche,2024,https://doi.org/10.1145/3664476.3670437
"Empowering People in Human-Robot Collaboration: Why, How, When, and for Whom","Johansen, Senaratne",2024,https://doi.org/10.1145/3638380.3638442
TAS '23: Proceedings of the First International Symposium on Trustworthy Autonomous Systems,No authors,2023,
A Survey on Collaborative Learning for Intelligent Autonomous Systems,Anjos,2023,https://doi.org/10.1145/3625544
Trustworthy Swarms,"Wilson, Chance",2023,https://doi.org/10.1145/3597512.3599705
Empowering People in Human-Robot Collaboration: Bringing Together and Synthesising Perspectives,"Johansen, Senaratne",2023,https://doi.org/10.1145/3572921.3572955
HRI '24: Companion of the 2024 ACM/IEEE International Conference on Human-Robot Interaction,"Grollman, Broadbent",2024,
Special Session: Digital Technologies for Sustainability: Research Challenges and Opportunities,"Pop, Graulund",2024,https://doi.org/10.1145/3607888.3608960
NEMO: Building the Next Generation Meta Operating System,Chochliouros,2023,https://doi.org/10.1145/3624486.3624504
Patterns for the Industrial Internet / Industrie 4.0,Bienhaus,2017,https://doi.org/10.1145/3147704.3147723
