Title,Authors,Year of Publication,DOI,Source
A Secure Federated Learning Mechanism for Data Privacy Protection,"Lin, Liu, Wang",2021,https://doi.org/10.1109/IUCC-CIT-DSCI-SmartCNS55181.2021.00019,https://www.computer.org/csdl
Securing Critical Infrastructure Through Innovative Use Of Merged Hierarchical Deep Neural Networks,Gupta,2021,https://doi.org/10.1109/PST52912.2021.9647771,https://www.computer.org/csdl
COMPSAC 2022: A Retrospective,Reisman,2022,https://doi.org/10.1109/MITP.2022.3193046,https://www.computer.org/csdl
Graphics and Media Technologies for Operators in Industry 4.0,"Posada, Zorrilla, Dominguez, Simoes, Eisert, Stricker, Rambach, Döllner, Guevara",2018,https://doi.org/10.1109/MCG.2018.053491736,https://www.computer.org/csdl
COSCO: Container Orchestration Using Co-Simulation and Gradient Based Optimization for Fog Computing Environments,"Tuli, Poojara, Srirama, Casale, Jennings",2022,https://doi.org/10.1109/TPDS.2021.3087349,https://www.computer.org/csdl
A Paradigm for Safe Adaptation of Collaborating Robots,"Cioroaica, Buhnova, Tomur",2022,https://doi.org/10.1145/3524844.3528061,https://www.computer.org/csdl
Enhancing Continuous Service of Information Systems Based on Cyber Resilience,"Zuo, Guo, Gan, Lu",2021,https://doi.org/10.1109/DSC53577.2021.00085,https://www.computer.org/csdl
ICICOS: Industrial Cyber Intelligent Control Operating System for Cloud and Edge Computing,"Su, Kong, He",2021,https://doi.org/10.1109/SmartIoT52359.2021.00056,https://www.computer.org/csdl
Aspern smart ICT: Data analytics and privacy challenges in a smart city,"Dhungana, Engelbrecht, Parreira, Schuster, Valerio",2015,https://doi.org/10.1109/WF-IoT.2015.7389096,https://www.computer.org/csdl
Methodological Framework Based on Digital Technologies for the Implementation of Industry 4.0 in SMEs,"Velásquez, Estevez, Pesado",2019,https://doi.org/10.1109/ICEDEG.2019.8734282,https://www.computer.org/csdl
